'Erecoil (keV)'    '68.75 keV inelastic'    'Erecoil (keV)'    'Erecoil (keV)'    'NR average'    'Erecoil (keV)'    '13.26 keV inelastic'    'Erecoil (keV)'    'threshold'    'Erecoil (keV)'    'NR low band'    'Erecoil (keV)'    'NR high band'    'Erecoil (keV)'
90.1637            0.828568                 38.0748            0.307455           27.6034         0.615466           3.23056                  0.932751           39.4311        0.216823           3.22877          0.991864           85.6366           1.08252
90.7459            0.825385                 39.0724            0.308915           28.2136         0.60893            3.2734                   0.919271           40.3851        0.219411           3.28159          0.979712           88.2292           1.08129
91.3314            0.822232                 40.0486            0.310336           28.8053         0.602244           3.31797                  0.905791           41.343         0.221908           3.33627          0.967557           90.8231           1.08018
91.9202            0.819109                 41.0015            0.311722           29.3955         0.595271           3.36433                  0.892312           42.305         0.224319           3.39295          0.955401           93.4183           1.07919
92.5123            0.816017                 41.9291            0.313075           30.0894         0.588766           3.4126                   0.878833           43.2711        0.226649           3.45178          0.943245           96.015            1.07836
93.1076            0.812956                 42.8297            0.314401           30.83           0.582143           3.46287                  0.865355           44.2416        0.228906           3.51293          0.931091           98.6133           1.07767
93.7061            0.809925                 43.7015            0.315703           31.6713         0.575468           3.51522                  0.851878           45.2163        0.231093           3.57656          0.918941           101.202           1.07652
94.3076            0.806925                 44.5425            0.316983           32.5156         0.56908            3.56976                  0.838401           46.1956        0.233216           3.6428           0.906796           103.79            1.07531
94.9123            0.803954                 45.4638            0.318149           33.364          0.562969           3.62657                  0.824924           47.1795        0.235282           3.71183          0.894658           106.387           1.07472
95.52              0.801013                 46.4948            0.31921            34.2171         0.557126           3.68576                  0.811449           48.1682        0.237295           3.78379          0.882529           108.984           1.07405
96.1307            0.798103                 47.5258            0.320271           35.0759         0.551542           3.7474                   0.797974           49.1616        0.23926            3.85884          0.87041            111.58            1.07334
96.7443            0.795222                 48.5568            0.321331           35.9411         0.546206           3.8116                   0.7845             50.1601        0.241184           3.93713          0.858303           114.176           1.07265
97.3608            0.79237                  49.586             0.322477           36.8136         0.54111            3.87846                  0.771026           51.1636        0.243072           4.01882          0.846209           116.773           1.07204
97.9801            0.789549                 50.6142            0.323707           37.6942         0.536243           3.94805                  0.757554           52.1723        0.24493            4.10407          0.83413            119.371           1.07156
98.6022            0.786756                 51.6433            0.324922           38.5836         0.531595           4.02049                  0.744082           53.1863        0.246762           4.19302          0.822067           121.971           1.07128
