'Erecoil (keV)'    'Yield'
35.556             0.226509
48.3475            0.823454
199.248            1.08721
93.5969            0.803446
187.936            1.04056
151.917            1.00977
20.7253            1.20039
191.455            0.88392
27.9216            0.355801
15.4095            1.06073
40.3928            0.356673
17.3289            0.296489
42.1514            0.300803
25.2826            0.332474
151.479            1.0256
59.2208            0.394976
138.689            1.04806
24.5231            0.253015
126.656            1.02875
27.7609            0.250997
57.7416            0.41196
123.698            0.9369
147.962            0.845912
64.0575            1.04805
15.5692            1.04575
148.682            0.844763
112.985            0.974916
16.0094            0.339978
14.2497            0.268852
117.262            0.318658
16.3088            0.233997
30.9997            0.298499
125.935            1.0279
19.5255            0.3345
72.5723            1.04488
92.5579            1.02243
73.3307            0.979231
14.8496            0.276333
68.015             1.01206
30.9998            0.269991
26.163             0.279495
34.3972            0.248846
19.0865            0.231994
164.272            0.971736
117.262            0.983255
53.4648            0.3918
26.0023            0.227672
77.1296            0.346312
27.6211            0.235155
63.1782            0.244655
163.672            0.983259
193.053            1.06273
25.8426            1.02876
195.41             0.993918
29.5195            0.284837
195.71             0.898611
156.038            1.03206
101.392            1.01926
199.53             1.03841
172.946            0.970582
79.6466            1.00256
19.6863            0.271148
118.142            0.979232
13.3704            0.936904
23.8046            0.309162
141.786            0.97492
112.265            1.01609
18.5276            0.220184
30.9997            0.22968
64.4966            1.07224
60.2398            1.00774
19.9658            0.193681
55.8222            0.348322
196.449            1.05325
199.248            1.0564
30.3999            0.329323
67.455             0.986426
93.5969            1.05007
68.4541            0.984408
80.2066            1.04057
182.5              1.06908
24.2426            0.355811
93.7577            0.379134
11.4521            0.876433
5.57526            1.17821
106.668            1.05842
44.5098            0.398145
23.3643            0.332478
126.217            1.00342
43.0517            0.373667
21.445             0.37482
7.21412            0.46466
22.3243            0.28799
145.762            0.997099
150.439            0.937779
56.4221            0.394972
181.18             0.972907
18.2071            0.205488
197.609            1.05209
23.2036            0.365319
17.4875            0.221333
25.2826            0.275177
142.085            1.00341
23.0849            0.231983
167.51             0.88507
19.5256            0.23199
16.7679            0.242348
104.631            1.05006
146.203            1.04806
58.7816            1.08088
23.9642            0.220173
8.65342            0.916745
50.1062            0.993922
25.1229            0.205499
135.01             0.986433
5.43557            1.41722
53.7842            0.336803
21.3053            1.13674
103.43             0.402323
77.2893            0.545282
11.1716            1.3029
186.018            1.03739
98.1532            0.925104
166.91             1.05323
123.698            1.05438
159.276            0.943226
115.343            1.01407
13.6498            0.308017
131.214            0.959084
169.428            1.02876
55.983             0.290157
185.576            1.01725
120.78             0.98442
68.0149            0.352643
67.1346            0.984415
24.0829            0.354661
143.684            1.05123
140.767            0.976932
57.4621            1.00141
35.9961            0.315482
190.574            1.00457
41.1533            0.29448
115.504            0.995057
23.0849            0.37366
31.2792            0.234001
195.85             1.04805
196.151            1.04806
22.6447            0.294476
12.7705            1.15922
121.501            1.03106
164.272            1.07223
146.043            1.02041
14.8496            0.229684
22.3243            0.227665
107.388            0.765285
14.8496            0.268849
18.0874            0.329319
19.9658            0.242348
153.399            1.03624
16.4485            0.23833
138.409            1.04056
52.9048            0.332489
12.3314            0.949576
75.6682            0.923079
187.177            0.67747
26.0022            1.10709
28.8009            0.320671
24.6838            1.1209
180.3              1.06706
37.7548            0.345157
177.183            1.05325
166.91             1.00889
44.8303            0.291159
61.4196            1.04173
21.6046            0.256176
120.94             1.00024
160.313            1.02877
114.902            1.0161
21.0059            0.318662
171.027            1.04806
75.371             0.94007
25.7228            0.222475
21.445             0.255327
94.4784            0.347171
34.8363            0.330331
23.2035            0.243507
159.276            0.8626
22.1856            0.253005
196.61             0.973756
16.3088            0.986426
100.353            0.952738
80.3674            0.94726
27.0423            1.07656
187.936            1.07656
126.818            1.02876
81.9863            1.0829
43.1914            0.379992
141.486            1.00975
94.3166            0.772774
90.2005            0.353501
19.9658            0.208658
38.0542            0.22882
32.6176            0.239187
159.874            1.06273
18.0874            0.286989
125.037            0.992909
148.243            0.959061
145.323            0.979239
49.9475            1.05438
11.4521            1.41318
56.1438            0.265677
15.5692            0.900908
90.6397            1.00024
171.747            0.954762
23.9641            0.254152
62.2989            0.353504
28.0813            0.323981
158.396            0.984398
17.3289            0.322985
141.486            1.03207
125.776            0.985562
11.013             0.417145
152.798            1.00141
30.838             0.179006
33.9571            1.07123
38.195             1.15373
79.3262            0.408651
57.1417            0.302826
126.656            1.00888
111.826            0.947267
94.7579            0.82978
16.4485            0.768445
51.7062            0.37481
14.5302            0.294476
91.52              0.329327
67.8941            1.01293
16.1691            0.339974
8.97386            1.06792
163.393            1.00975
172.786            1.02358
28.2011            0.338816
89.7614            0.989589
176.622            1.04576
96.9556            0.983264
161.193            0.972903
132.372            1.05525
168.229            1.03423
133.413            1.02154
22.1856            0.293324
34.517             0.236013
178.384            0.969725
37.9145            0.264808
126.656            1.00888
101.392            1.01839
52.5855            0.337665
178.384            0.988729
26.2828            0.260493
44.0718            0.35667
23.524             0.275181
105.949            1.02243
14.2497            0.415139
156.635            1.01292
168.668            1.08721
19.6863            0.370495
15.8697            0.195993
122.38             0.983256
100.353            0.951588
184.397            0.846783
21.8841            0.336799
159.994            1.00659
163.23             0.999252
25.8426            1.0829
13.091             0.278348
12.2116            0.365316
21.1655            0.998236
10.8733            1.06907
193.811            1.01294
23.6438            0.204346
137.528            1.00659
16.0095            0.295344
199.53             1.05842
43.7913            0.22881
41.8719            0.23833
7.05446            0.506135
59.2208            1.0829
81.6869            0.878595
87.4218            0.943237
146.922            1.01092
152.958            1.0279
187.936            1.08922
27.0423            1.09038
58.6209            1.0279
87.4218            0.382306
175.424            1.0066
4.85568            1.2862
17.6472            1.14221
132.372            0.993922
140.907            0.980103
21.1655            0.303979
51.5854            0.436158
18.2071            0.273159
53.6245            0.949576
28.6413            0.240346
40.9926            0.236013
14.2497            0.337671
116.223            1.05957
87.8809            1.01523
103.151            1.03308
25.4024            1.12206
150.88             0.992905
12.3314            0.982401
140.008            1.11773
27.7609            1.04259
76.8479            0.353496
194.691            1.05957
34.2365            0.303975
151.78             1.06389
31.8779            0.254155
16.4485            0.254159
14.6899            0.864918
23.524             0.480637
19.5255            0.250993
45.8294            0.998236
72.8916            0.383169
43.4919            0.242349
20.8451            0.219321
139.008            0.976924
5.29479            1.10393
27.1809            1.07757
197.77             1.10075
176.023            1.03106
24.4044            0.155679
21.7443            0.221336
191.893            1.02156
14.6899            0.33882
24.6838            0.26366
136.49             1.00025
190.134            1.03625
31.1594            0.236006
92.8584            0.955903
22.6447            0.272016
163.83             1.00976
79.2075            1.13789
146.642            0.976942
19.4069            0.272016
38.7938            0.284837
23.2035            0.237172
29.9608            0.24667
29.4008            0.332471
198.369            1.1739
117.821            1.0256
16.1691            0.217009
21.0058            1.05842
61.4196            0.262519
27.0423            0.266825
152.359            1.03309
140.447            0.997085
41.7123            0.314342
110.068            0.897737
46.8694            0.296485
187.617            0.923069
14.9704            0.27633
19.2461            0.237172
146.343            0.989591
128.696            0.427781
176.023            0.985565
62.738             1.08491
38.4933            0.308017
36.8755            0.973756
174.705            1.04891
102.851            0.377993
9.99287            1.28821
11.4521            0.266833
14.8496            0.221333
70.0929            1.11039
50.9866            0.265677
185.138            1.03308
109.028            0.737934
35.7168            1.01407
140.008            0.974899
118.422            0.928272
183.219            1.04805
130.173            1.00025
77.7273            0.983267
15.5692            0.277482
6.89478            0.961083
185.278            1.06158
34.6767            0.384311
23.6437            0.243503
85.8029            0.610932
59.9403            0.298506
32.1785            0.28584
30.2801            0.231979
134.13             0.964266
22.3243            0.248842
40.8329            0.263656
166.31             0.23919
