x,Curve1,curve2,curve3,curve4
83.418,1.08204,0.91414,0.42343,0.28819
85.793,1.07878,0.91587,0.42428,0.28842
86.132,1.07872,0.91611,0.42449,0.28829
86.615,1.07882,0.91646,0.42481,0.28819
88.202,1.08005,0.91761,0.42587,0.28941
89.117,1.08065,0.91826,0.42625,0.29119
89.268,1.0807,0.91837,0.42628,0.29152
89.468,1.08072,0.91851,0.42631,0.29195
91.538,1.07948,0.91961,0.42604,0.29565
92.175,1.07901,0.91988,0.42614,0.2962
92.465,1.07885,0.92001,0.42628,0.2963
92.942,1.07872,0.9202,0.42667,0.29627
95.012,1.07998,0.92061,0.42937,0.29522
95.232,1.08018,0.92057,0.42965,0.2952
95.801,1.08058,0.92031,0.43029,0.29534
96.139,1.08072,0.92009,0.4306,0.29554
98.348,1.07934,0.91961,0.43186,0.29809
98.429,1.07923,0.91964,0.43189,0.2982
98.78,1.07872,0.91978,0.432,0.29867
99.832,1.07728,0.92034,0.43229,0.29997
101.765,1.07576,0.92167,0.43275,0.3012
101.837,1.07572,0.92172,0.43277,0.3012
103.306,1.07483,0.9228,0.43329,0.30047
104.464,1.07419,0.92362,0.43391,0.30008
104.823,1.074,0.92384,0.43412,0.3002
106.642,1.0731,0.92466,0.43529,0.30274
107.521,1.0727,0.92462,0.43582,0.30437
108.02,1.07249,0.92444,0.43611,0.3052
110.117,1.07176,0.92519,0.43729,0.30743
110.315,1.07171,0.92528,0.43741,0.30757
110.996,1.07159,0.92562,0.43781,0.308
111.356,1.07156,0.9258,0.43803,0.30821
113.373,1.07307,0.92685,0.43925,0.30936
113.453,1.07305,0.92689,0.43929,0.30941
114.831,1.07248,0.92761,0.44008,0.31021
116.708,1.07171,0.92859,0.44116,0.31134
116.928,1.07163,0.9287,0.44129,0.31147
118.167,1.07114,0.92933,0.44207,0.31221
120.263,1.07035,0.93035,0.4433,0.31341
121.641,1.06985,0.93097,0.44391,0.31421
123.366,1.06924,0.93162,0.44429,0.31527
123.738,1.06911,0.93173,0.4443,0.3155
124.977,1.0687,0.9319,0.44416,0.31621
126.424,1.06825,0.92962,0.4441,0.31696
127.074,1.06805,0.92808,0.4443,0.31732
128.369,1.06769,0.92762,0.4453,0.31815
128.452,1.06766,0.92766,0.44539,0.31821
130.271,1.06721,0.92946,0.4473,0.31983
131.427,1.06698,0.93062,0.4482,0.32091
131.788,1.06691,0.93086,0.44842,0.32121
133.746,1.06671,0.93112,0.4493,0.32254
133.803,1.06671,0.9311,0.44932,0.32257
134.624,1.06675,0.93062,0.44956,0.32297
135.263,1.06687,0.92995,0.44973,0.32322
137,1.0682,0.9286,0.45027,0.3237
137.081,1.06808,0.92861,0.4503,0.32373
137.126,1.0679,0.92862,0.45032,0.32374
138.598,1.06542,0.92976,0.45105,0.32422
139.779,1.06471,0.93102,0.45178,0.32481
140.462,1.06451,0.93162,0.45224,0.32521
140.556,1.06449,0.93169,0.4523,0.32527
142.073,1.06435,0.93209,0.45334,0.32622
143.519,1.06444,0.93162,0.45415,0.32707
143.892,1.06449,0.93144,0.4543,0.32729
145.409,1.06477,0.9308,0.45473,0.32822
146.716,1.06512,0.93062,0.45506,0.32913
147.367,1.06533,0.9307,0.4553,0.32956
148.606,1.0658,0.93108,0.456,0.33022
150.052,1.06653,0.93162,0.45694,0.33066
150.342,1.06671,0.9317,0.45711,0.33073
150.703,1.06697,0.93175,0.4573,0.33082
152.081,1.06861,0.93169,0.45784,0.33122
153.109,1.06893,0.93162,0.4581,0.33171
153.539,1.06871,0.9316,0.45818,0.33196
154.177,1.06833,0.93158,0.45831,0.33237
155.417,1.06749,0.93159,0.45856,0.33322
157.513,1.06594,0.93179,0.45931,0.33458
158.891,1.06485,0.93215,0.46012,0.33522
159.781,1.06411,0.93262,0.46068,0.33549
160.988,1.06304,0.93442,0.46131,0.33577
161.322,1.06271,0.93522,0.46143,0.33586
162.366,1.06413,0.93648,0.46172,0.33622
162.7,1.06443,0.93662,0.4618,0.33639
164.379,1.06571,0.93678,0.46227,0.33746
164.463,-3544415.83409,0.93677,0.46231,0.33752
165.702,-15885815017.816977,0.93659,0.46299,0.33823
167.798,-275666643920.573364,0.93597,0.46431,0.33883
169.177,-762099966623.190796,0.93534,0.46485,0.33923
